UF,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
PE,201507,1797160,5130821,1642429,4892692,239220,752982,1104702,3295856,1343922,4048838
PE,201508,1808281,5151731,1647668,4903012,241444,758387,1095696,3262131,1337140,4020518
PE,201509,1815612,5164579,1651168,4909109,243614,763917,1089929,3241709,1333543,4005626
PE,201510,1822615,5176394,1655161,4915892,246033,771080,1085426,3224282,1331459,3995362
PE,201511,1829256,5187098,1659215,4922237,246774,772347,1085270,3220541,1332044,3992888
PE,201512,1837981,5203320,1664694,4932737,247279,771844,1086169,3220291,1333448,3992135
PE,201601,1785785,5099225,1632395,4867446,238287,750547,1055581,3158148,1293868,3908695
PE,201602,1793045,5112780,1637577,4877538,237232,746965,1060870,3170409,1298102,3917374
PE,201603,1803258,5131421,1645482,4892513,235845,741175,1068686,3187660,1304531,3928835
PE,201604,1816036,5154862,1655836,4912105,233595,732939,1079637,3211911,1313232,3944850
PE,201605,1826813,5174243,1664551,4928205,232132,726558,1088674,3231975,1320806,3958533
PE,201606,1836241,5186634,1669911,4933927,231979,742405,1119265,3318215,1351244,4060620
PE,201607,1847881,5205269,1677460,4945774,230938,736531,1122343,3319463,1353281,4055994
PE,201608,1859277,5223030,1684627,4956131,232116,717462,1093007,3223219,1325123,3940681
PE,201609,1868394,5238076,1656861,4891006,233123,717667,1095712,3225532,1328835,3943199
PE,201610,1877557,5250868,1659676,4890588,235133,720031,1093204,3208991,1328337,3929022
PE,201611,1883048,5258923,1660331,4888818,237699,724793,1088398,3191311,1326097,3916104
PE,201612,1792501,5042488,1581619,4684352,224452,686878,1043965,3071626,1268417,3758504
PE,201701,1798477,5051910,1634654,4800559,211907,672098,1086181,3186679,1298088,3858777
PE,201702,1807460,5066268,1641427,4811431,210985,667663,1093003,3200844,1303988,3868507
PE,201703,1817745,5082874,1649605,4824900,210600,664001,1100750,3216894,1311350,3880895
PE,201704,1831264,5103695,1660111,4841149,210242,659622,1109806,3233732,1320048,3893354
PE,201705,1844807,5124523,1670476,4856946,210582,657328,1115299,3238362,1325881,3895690
PE,201706,1858156,5139336,1680086,4865918,211780,656056,1114848,3220040,1326628,3876096
PE,201707,1875000,5166251,1691858,4885088,213172,656288,1120214,3226504,1333386,3882792
PE,201708,1891551,5192173,1703158,4902911,214678,656801,1125191,3232170,1339869,3888971
PE,201709,1763698,4870328,1595812,4612816,192035,587444,1082181,3126152,1274216,3713596
