ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
431041,202112,456,1034,321,828,31,75,183,471,214,546
431043,202112,340,832,203,582,37,122,103,281,140,403
431046,202112,110,281,43,128,6,16,9,25,15,41
431050,202112,1399,3303,978,2617,192,522,427,1186,619,1708
431053,202112,719,1808,401,1175,73,233,131,326,204,559
431055,202112,624,1455,508,1272,62,137,363,910,425,1047
431057,202112,235,668,136,438,31,103,43,127,74,230
431060,202112,6093,14674,4108,11359,930,2837,1230,3214,2160,6051
431065,202112,422,1016,310,832,43,118,156,410,199,528
431070,202112,441,1158,267,788,61,202,64,170,125,372
431075,202112,228,639,134,425,31,106,39,131,70,237
431080,202112,604,1605,418,1211,68,222,155,420,223,642
431085,202112,814,2057,516,1398,56,157,279,742,335,899
431087,202112,432,1168,347,1000,41,121,202,571,243,692
431090,202112,420,968,164,491,24,74,43,137,67,211
431100,202112,3755,8015,2635,6564,322,803,1523,3781,1845,4584
431110,202112,1500,3362,1027,2542,203,542,460,1020,663,1562
431112,202112,665,1711,548,1505,40,143,400,1023,440,1166
431113,202112,433,1114,359,976,59,162,189,504,248,666
431115,202112,1001,2769,783,2371,75,289,506,1439,581,1728
431120,202112,2853,7127,1985,5509,509,1515,529,1362,1038,2877
431123,202112,390,1043,256,747,59,156,136,406,195,562
431125,202112,1084,2885,828,2417,281,811,318,972,599,1783
431127,202112,203,547,69,225,7,24,10,29,17,53
431130,202112,3236,7913,2447,6667,365,1050,1349,3598,1714,4648
431140,202112,6197,14392,3730,9765,437,1217,1588,3595,2025,4812
431142,202112,571,1404,432,1178,50,134,279,767,329,901
431150,202112,1105,2825,813,2305,148,461,373,1029,521,1490
431160,202112,717,1949,475,1429,115,354,112,324,227,678
431162,202112,564,1379,338,963,39,127,170,434,209,561
431164,202112,182,421,48,148,5,13,8,21,13,34
431170,202112,471,1257,337,986,97,287,87,243,184,530
431171,202112,748,1671,623,1509,172,355,338,873,510,1228
431173,202112,466,1163,339,978,90,300,118,315,208,615
431175,202112,1377,3108,872,2260,144,356,332,831,476,1187
431177,202112,880,2261,682,1945,114,397,425,1140,539,1537
431179,202112,347,748,104,299,15,44,30,84,45,128
431180,202112,2385,5915,1458,4097,341,988,431,1120,772,2108
431190,202112,619,1531,265,755,34,98,80,189,114,287
431198,202112,417,1175,335,1017,79,245,126,401,205,646
431200,202112,379,935,94,246,19,53,12,26,31,79
431205,202112,227,598,120,367,36,115,33,107,69,222
431210,202112,679,1545,542,1357,148,374,205,553,353,927
431213,202112,277,719,209,585,10,32,117,316,127,348
431215,202112,663,1544,319,906,32,100,152,396,184,496
431217,202112,170,436,118,335,19,62,53,126,72,188
431220,202112,587,1476,371,1067,37,117,197,518,234,635
431225,202112,1576,3599,1219,3028,124,318,843,2081,967,2399
431230,202112,721,1963,571,1643,96,276,319,882,415,1158
431235,202112,181,484,21,73,2,4,4,19,6,23
431237,202112,368,1127,291,950,54,202,136,413,190,615
431238,202112,34,96,28,83,3,9,14,35,17,44
431240,202112,5090,11976,4066,10363,456,1290,2602,6269,3058,7559
431242,202112,289,707,254,651,36,101,167,407,203,508
431244,202112,379,937,186,524,26,87,69,164,95,251
431245,202112,1389,3153,887,2301,68,181,485,1204,553,1385
431247,202112,298,717,180,483,27,83,81,184,108,267
431250,202112,1871,4515,1399,3880,308,857,684,2062,992,2919
431260,202112,290,767,176,550,23,82,62,187,85,269
431261,202112,277,813,219,704,14,48,125,379,139,427
431262,202112,343,941,173,560,13,44,106,340,119,384
431265,202112,1657,3847,692,1965,82,262,224,538,306,800
431267,202112,253,627,164,443,5,16,118,300,123,316
431270,202112,2972,6460,1596,4133,346,900,476,1294,822,2194
431275,202112,130,358,72,223,22,66,16,49,38,115
431280,202112,240,634,75,235,4,15,14,33,18,48
431290,202112,374,1103,251,798,49,169,35,91,84,260
431295,202112,75,181,27,75,7,20,4,9,11,29
431300,202112,314,821,69,211,9,25,23,58,32,83
431301,202112,300,846,70,226,11,34,9,26,20,60
431303,202112,661,1652,407,1136,23,79,187,462,210,541
431306,202112,2425,5641,1498,4081,183,546,652,1586,835,2132
431308,202112,31,86,28,80,10,34,14,38,24,72
431310,202112,579,1524,414,1181,50,134,194,515,244,649
431320,202112,710,1900,400,1258,73,223,113,309,186,532
431330,202112,1868,4307,962,2678,152,471,390,962,542,1433
431333,202112,225,583,122,355,21,64,43,105,64,169
431335,202112,38,113,21,75,5,13,1,3,6,16
431337,202112,2961,7409,2295,6358,318,1042,1457,3819,1775,4861
431339,202112,467,1158,346,954,97,278,126,330,223,608
431340,202112,19601,46752,13753,36942,1955,5865,6802,16902,8757,22767
431342,202112,443,989,326,803,31,62,242,599,273,661
431344,202112,408,1012,242,707,27,83,111,312,138,395
431346,202112,222,539,80,248,13,42,19,47,32,89
431349,202112,805,1938,505,1316,97,244,237,596,334,840
431350,202112,4642,11361,3532,9512,430,1323,2015,5135,2445,6458
431360,202112,601,1399,300,832,93,266,66,181,159,447
431365,202112,2244,4987,1780,4349,123,359,1387,3301,1510,3660
431370,202112,5027,11619,3719,9570,774,2039,1782,4662,2556,6701
431380,202112,909,2362,745,2103,72,196,483,1373,555,1569
431390,202112,2812,6785,1787,4949,172,572,952,2303,1124,2875
431395,202112,1527,3539,1148,2977,210,539,622,1630,832,2169
431400,202112,315,867,177,559,31,99,36,100,67,199
431402,202112,947,2055,710,1702,94,215,470,1115,564,1330
431403,202112,218,593,165,487,33,100,69,197,102,297
431405,202112,5332,13463,4180,11559,693,2110,2084,5380,2777,7490
431406,202112,603,1622,417,1233,83,240,167,513,250,753
431407,202112,540,1394,392,1085,72,216,232,620,304,836
431410,202112,19133,45915,13242,35842,1740,5319,7305,18304,9045,23623
431413,202112,244,661,57,191,5,17,11,35,16,52
431415,202112,756,1790,487,1341,83,270,219,531,302,801
431417,202112,607,1306,400,977,60,164,218,501,278,665
431420,202112,1729,3739,1313,3187,150,367,791,1857,941,2224
431430,202112,615,1540,312,943,46,148,99,262,145,410
431440,202112,32984,74499,23353,59734,3892,10654,9864,23364,13756,34018
431442,202112,144,409,72,246,17,65,11,32,28,97
431445,202112,384,1059,106,334,10,24,14,37,24,61
431446,202112,289,810,216,664,33,118,106,309,139,427
431447,202112,803,2034,445,1284,85,256,125,367,210,623
431449,202112,821,2084,518,1470,98,254,192,564,290,818
431450,202112,2398,4755,1872,4011,75,177,1512,3148,1587,3325
431454,202112,38,124,30,104,5,19,13,41,18,60
431455,202112,622,1427,310,800,30,79,160,377,190,456
431460,202112,3086,7139,2113,5443,543,1436,563,1450,1106,2886
431470,202112,1450,3915,1056,3093,203,586,388,1142,591,1728
431475,202112,256,679,56,188,4,15,7,13,11,28
431477,202112,449,1122,267,766,42,110,101,269,143,379
431478,202112,228,597,52,158,8,23,5,13,13,36
431480,202112,3650,8766,2911,7623,749,1921,1355,3602,2104,5523
431490,202112,116189,265497,88650,223507,5720,17069,65290,157311,71010,174380
431500,202112,516,1288,385,1048,68,195,194,508,262,703
431505,202112,263,622,181,502,14,45,126,344,140,389
431507,202112,342,802,141,411,42,128,18,44,60,172
431510,202112,1732,4282,1177,3209,290,836,383,1049,673,1885
431513,202112,237,513,127,331,48,104,21,58,69,162
431514,202112,123,310,95,261,5,14,63,160,68,174
431515,202112,504,1214,372,988,85,231,212,519,297,750
431517,202112,58,167,46,134,5,15,23,62,28,77
431520,202112,404,988,172,505,16,53,80,208,96,261
431530,202112,5354,11373,3218,8142,660,1609,1128,2890,1788,4499
431531,202112,212,496,134,352,19,41,51,128,70,169
431532,202112,575,1301,354,909,65,191,148,371,213,562
431535,202112,264,692,117,360,23,73,22,61,45,134
431540,202112,1846,5726,1701,5530,67,235,1364,4482,1431,4717
431545,202112,375,943,77,225,6,18,23,62,29,80
431550,202112,2280,5558,1647,4401,269,765,835,2118,1104,2883
431555,202112,707,1571,423,1101,46,130,234,604,280,734
431560,202112,26435,61126,17714,47441,3504,9474,6133,17215,9637,26689
431570,202112,4647,10772,3939,9749,500,1257,2798,6768,3298,8025
431575,202112,348,821,286,727,85,187,127,336,212,523
431580,202112,611,1563,393,1138,43,141,206,557,249,698
431590,202112,674,1812,499,1449,111,311,166,481,277,792
431595,202112,385,1018,245,725,39,114,88,236,127,350
431600,202112,1625,3765,1171,3085,224,639,512,1291,736,1930
431610,202112,1486,3635,1008,2781,183,469,471,1351,654,1820
431620,202112,506,1274,248,689,47,132,108,276,155,408
431630,202112,1379,3326,661,1873,99,284,254,684,353,968
431640,202112,6795,15386,5778,14102,604,1505,4177,10235,4781,11740
431642,202112,661,1501,402,1024,52,111,181,444,233,555
431643,202112,393,946,182,515,17,45,55,149,72,194
431645,202112,1983,4230,1567,3682,44,133,1315,3045,1359,3178
