UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AC,202006,2640762,138220,474661,121730,448330,12066,48729.0,89801.0,335832.0,101867.0,384561.0
AC,202007,2640762,138326,474642,121815,448271,12059,48651.0,89854.0,335778.0,101913.0,384429.0
AC,202008,2640762,138508,474680,121966,448271,12082,48657.0,89950.0,335724.0,102032.0,384381.0
AC,202009,2640762,138878,474618,122291,448131,12096,48525.0,90178.0,335460.0,102274.0,383985.0
AC,202010,2640762,139615,475291,122904,448611,12123,48379.0,90631.0,335759.0,102754.0,384138.0
AC,202011,2640762,136389,465361,120234,439739,11562,46287.0,89615.0,332523.0,101177.0,378810.0
AC,202012,2640762,137009,466364,120768,440625,11597,46224.0,89996.0,333204.0,101593.0,379428.0
AC,202104,2640762,140062,470726,123858,445476,11376,44162.0,92641.0,338444.0,104017.0,382606.0
AC,202105,2640762,140998,472316,124684,446917,11339,43695.0,93394.0,340104.0,104733.0,383799.0
AC,202106,2640762,141950,473825,125497,448251,11277,43213.0,94095.0,341433.0,105372.0,384646.0
AC,202107,2640762,143392,476032,126694,450114,11302,42937.0,94976.0,342765.0,106278.0,385702.0
AC,202108,2640762,144531,477992,127660,451825,11375,42886.0,95584.0,343722.0,106959.0,386608.0
AC,202109,2640762,145717,479902,128594,453363,11481,42881.0,96140.0,344503.0,107621.0,387384.0
AC,202110,2640762,146920,481842,129549,454973,11585,42957.0,96681.0,345141.0,108266.0,388098.0
AC,202111,2640762,150326,487178,132577,459845,12169,43720.0,98352.0,347346.0,110521.0,391066.0
AC,202112,2640762,152846,491264,134836,463602,12562,44224.0,99641.0,349300.0,112203.0,393524.0
AL,201401,27588746,675192,2095327,633597,2036039,113476,388735.0,425965.0,1384926.0,539441.0,1773661.0
AL,201402,27588746,678526,2100114,635710,2039051,113794,388970.0,425696.0,1381629.0,539490.0,1770599.0
AL,201403,27588746,681496,2103375,637323,2040229,113795,388076.0,424771.0,1375786.0,538566.0,1763862.0
AL,201404,27588746,684168,2105897,638852,2040970,113631,386322.0,424320.0,1371235.0,537951.0,1757557.0
AL,201405,27588746,686532,2108206,640258,2041906,108674,363555.0,440807.0,1423286.0,549481.0,1786841.0
AL,201406,27588746,689103,2110894,641714,2043008,108792,363739.0,440652.0,1420082.0,549444.0,1783821.0
AL,201407,27588746,692456,2116073,644038,2046720,109053,364259.0,441331.0,1419522.0,550384.0,1783781.0
AL,201408,27588746,697311,2123684,647447,2052171,109695,365943.0,442568.0,1419090.0,552263.0,1785033.0
AL,201409,27588746,699716,2124389,648919,2051487,110074,366090.0,442607.0,1415758.0,552681.0,1781848.0
AL,201410,27588746,702464,2130718,650633,2056198,110462,367656.0,442794.0,1415302.0,553256.0,1782958.0
AL,201411,27588746,704947,2135013,652297,2059212,110795,368189.0,443276.0,1415535.0,554071.0,1783724.0
AL,201412,27588746,707517,2138949,653723,2061436,111413,369860.0,442863.0,1412792.0,554276.0,1782652.0
AL,201501,27588746,658266,2004493,608839,1935156,94087,320658.0,420106.0,1346139.0,514193.0,1666797.0
AL,201502,27588746,661894,2010799,610456,1938254,94582,321730.0,419338.0,1342852.0,513920.0,1664582.0
AL,201503,27588746,664666,2014835,611606,1939698,95205,322914.0,417881.0,1336938.0,513086.0,1659852.0
AL,201504,27588746,666829,2018459,612728,1941736,95578,323667.0,417132.0,1333377.0,512710.0,1657044.0
AL,201505,27588746,669708,2023041,614262,1944247,95697,323434.0,416736.0,1330225.0,512433.0,1653659.0
AL,201506,27588746,671467,2024074,614744,1943144,96077,324557.0,413049.0,1314583.0,509126.0,1639140.0
AL,201507,27588746,651321,1968789,595762,1888594,91757,312105.0,399615.0,1270801.0,491372.0,1582906.0
AL,201508,27588746,654629,1973020,597024,1889544,92532,313876.0,396390.0,1257436.0,488922.0,1571312.0
AL,201509,27588746,656669,1975438,597695,1889809,93406,316233.0,394184.0,1249174.0,487590.0,1565407.0
AL,201510,27588746,658761,1978153,598501,1890506,94598,320546.0,391715.0,1239344.0,486313.0,1559890.0
AL,201511,27588746,661239,1981283,599636,1891601,95077,321429.0,390833.0,1235184.0,485910.0,1556613.0
AL,201512,27588746,663918,1985376,600914,1893438,95399,321933.0,390344.0,1232106.0,485743.0,1554039.0
AL,201601,27588746,639849,1935520,583082,1855119,90867,310964.0,375793.0,1201372.0,466660.0,1512336.0
AL,201602,27588746,642541,1940159,584789,1858256,90579,309955.0,376922.0,1203370.0,467501.0,1513325.0
AL,201603,27588746,646828,1946725,587406,1862356,90075,307584.0,378911.0,1207390.0,468986.0,1514974.0
AL,201604,27588746,650998,1953371,590084,1866771,89310,304587.0,381115.0,1211508.0,470425.0,1516095.0
AL,201605,27588746,655295,1960601,592981,1872014,89304,303511.0,382732.0,1214502.0,472036.0,1518013.0
AL,201606,27588746,659764,1965932,595556,1874570,92518,320097.0,392467.0,1241943.0,484985.0,1562040.0
AL,201607,27588746,663044,1970117,597613,1876953,91987,317204.0,393604.0,1242224.0,485591.0,1559428.0
AL,201608,27588746,666704,1974226,599676,1878687,89815,301385.0,382636.0,1203302.0,472451.0,1504687.0
AL,201609,27588746,670068,1978897,591498,1859046,90229,301294.0,383147.0,1203065.0,473376.0,1504359.0
AL,201610,27588746,669888,1973254,589560,1850095,89909,298683.0,381273.0,1194884.0,471182.0,1493567.0
AL,201611,27588746,672576,1976588,590243,1849710,90474,299316.0,380421.0,1190354.0,470895.0,1489670.0
AL,201612,27588746,641604,1899833,564040,1778140,85962,285481.0,365782.0,1149368.0,451744.0,1434849.0
AL,201701,27588746,644669,1904390,580473,1813003,84496,288809.0,379809.0,1189804.0,464305.0,1478613.0
AL,201702,27588746,648733,1909814,583377,1816735,83768,285261.0,383080.0,1196726.0,466848.0,1481987.0
AL,201703,27588746,653043,1915821,586583,1821219,83494,283039.0,386401.0,1203553.0,469895.0,1486592.0
AL,201704,27588746,658590,1922631,590722,1826112,82948,279339.0,390522.0,1211143.0,473470.0,1490482.0
AL,201705,27588746,663111,1928728,594021,1830542,82450,275949.0,393075.0,1214867.0,475525.0,1490816.0
AL,201706,27588746,666230,1930274,596080,1830555,82281,274075.0,393189.0,1209480.0,475470.0,1483555.0
AL,201707,27588746,669988,1934632,598685,1833219,81897,271741.0,395376.0,1212366.0,477273.0,1484107.0
AL,201708,27588746,674638,1940617,601822,1837118,81353,268673.0,398243.0,1217475.0,479596.0,1486148.0
AL,201709,27588746,618115,1793425,552862,1700719,69785,231548.0,377821.0,1164581.0,447606.0,1396129.0
